PacketCounter;SampleTimeFine;Year;Month;Day;Second;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00001;326115;;;;;;;;;;;;;-0.100548;0.311635;-0.821163;-0.589093;-0.344607;-5.826982
00002;326215;;;;;;;;;;;;;-0.091577;0.311792;-0.823291;-0.593105;-0.346154;-5.825593
00003;326315;;;;;;;;;;;;;-0.100874;0.320290;-0.825568;-0.598063;-0.347850;-5.845959
00004;326415;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.599562;-0.348335;-5.833496
00005;326515;;;;;;;;;;;;;-0.094069;0.318236;-0.814957;-0.600042;-0.348624;-5.858249
00006;326615;;;;;;;;;;;;;-0.096392;0.320364;-0.819228;-0.599239;-0.348830;-5.863068
00007;326715;;;;;;;;;;;;;-0.096309;0.318202;-0.821300;-0.598138;-0.347341;-5.858788
00008;326815;;;;;;;;;;;;;-0.098469;0.316000;-0.821253;-0.595142;-0.345436;-5.871181
00009;326915;;;;;;;;;;;;;-0.100793;0.318125;-0.823409;-0.592032;-0.343543;-5.880073
00010;327015;;;;;;;;;;;;;-0.100713;0.315959;-0.819135;-0.588412;-0.342248;-5.891672
00011;327115;;;;;;;;;;;;;-0.096309;0.318202;-0.821300;-0.585804;-0.338731;-5.904283
00012;327215;;;;;;;;;;;;;-0.100877;0.320285;-0.819222;-0.584024;-0.336927;-5.912920
00013;327315;;;;;;;;;;;;;-0.096392;0.320364;-0.819228;-0.584070;-0.336137;-5.911007
00014;327415;;;;;;;;;;;;;-0.098553;0.318160;-0.817066;-0.584864;-0.335456;-5.928542
00015;327515;;;;;;;;;;;;;-0.098384;0.313841;-0.827556;-0.585774;-0.334179;-5.926970
00016;327615;;;;;;;;;;;;;-0.098467;0.316003;-0.825484;-0.587561;-0.333910;-5.939239
00017;327715;;;;;;;;;;;;;-0.103122;0.320242;-0.812873;-0.589010;-0.333897;-5.947008
00018;327815;;;;;;;;;;;;;-0.094068;0.318238;-0.817072;-0.591236;-0.334523;-5.955029
00019;327915;;;;;;;;;;;;;-0.096311;0.318199;-0.817069;-0.592033;-0.334608;-5.973850
00020;328015;;;;;;;;;;;;;-0.094230;0.322567;-0.821390;-0.593584;-0.335367;-5.961171
00021;328115;;;;;;;;;;;;;-0.096310;0.318200;-0.819185;-0.592205;-0.336335;-5.971656
00022;328215;;;;;;;;;;;;;-0.096308;0.318203;-0.823416;-0.592257;-0.337199;-5.974816
00023;328315;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.592475;-0.337733;-5.984901
