// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
15824;-9.805348;0.520977;0.069683
15825;-9.807016;0.483760;0.001821
15826;-9.804377;0.509123;0.026810
15827;-9.783743;0.514294;0.118370
15828;-9.816377;0.503620;0.001296
15829;-9.803059;0.508169;0.061947
15830;-9.803104;0.497717;0.047391
15831;-9.794004;0.513365;0.045487
15832;-9.787435;0.515141;0.080230
15833;-9.786449;0.492108;0.058497
15834;-9.810434;0.494959;0.025049
15835;-9.794824;0.517099;0.076948
15836;-9.799351;0.493698;0.033497
15837;-9.798717;0.495533;0.023750
15838;-9.786547;0.496718;0.067584
15839;-9.808720;0.519608;0.081993
15840;-9.800789;0.506190;0.042365
15841;-9.793878;0.514811;0.022668
15842;-9.770614;0.515806;0.123212
15843;-9.800005;0.497478;0.063774
15844;-9.814655;0.497349;-0.007175
15845;-9.796722;0.502096;0.108143
15846;-9.791796;0.483386;0.053174
15847;-9.817765;0.496738;-0.010470
15848;-9.793811;0.509145;0.091124
15849;-9.809753;0.500876;0.002994
15850;-9.805743;0.509055;0.016610
15851;-9.772490;0.519399;0.123010
15852;-9.780316;0.520096;0.048877
15853;-9.792310;0.502728;0.082704
15854;-9.795849;0.491301;0.071662
15855;-9.804516;0.494761;0.037845
15856;-9.807465;0.492715;-0.041398
15857;-9.790009;0.516739;0.060075
15858;-9.784466;0.500593;0.108177
15859;-9.814672;0.505806;0.015293
15860;-9.815033;0.494624;0.018536
15861;-9.792100;0.540757;0.096114
15862;-9.799491;0.508721;0.061851
15863;-9.796028;0.495871;0.054393
15864;-9.804095;0.516877;0.040364
15865;-9.822779;0.496088;-0.002673
15866;-9.801706;0.509387;0.134197
15867;-9.791570;0.498056;0.079001
15868;-9.811648;0.486316;-0.050425
15869;-9.797394;0.505598;0.079031
15870;-9.816861;0.510002;0.002998
15871;-9.807788;0.509154;-0.010385
15872;-9.793228;0.508856;0.079018
15873;-9.797207;0.497952;0.018036
15874;-9.810797;0.497957;0.038894
15875;-9.787295;0.513931;0.168490
15876;-9.804813;0.508548;0.001709
15877;-9.805531;0.504847;-0.020694
15878;-9.796816;0.507667;0.108482
15879;-9.784694;0.484116;0.063544
15880;-9.822234;0.489336;0.004782
15881;-9.781748;0.518344;0.072920
15882;-9.789742;0.512282;0.073026
15883;-9.795899;0.496985;0.039077
15884;-9.815963;0.488519;0.054887
15885;-9.808561;0.502816;0.066442
15886;-9.808842;0.512695;0.039175
15887;-9.813720;0.514086;0.017170
15888;-9.817112;0.517366;0.045870
15889;-9.793098;0.507353;0.090591
15890;-9.812427;0.501796;-0.001809
15891;-9.794107;0.495563;0.071203
15892;-9.811005;0.519101;0.062983
15893;-9.794683;0.495817;-0.015953
15894;-9.806058;0.500642;0.068085
15895;-9.799741;0.482881;0.042797
15896;-9.793133;0.507555;0.027473
15897;-9.774701;0.498491;0.142020
15898;-9.820671;0.502010;0.127624
15899;-9.816901;0.496921;0.027231
15900;-9.786442;0.519673;0.087709
15901;-9.800482;0.499220;-0.032047
15902;-9.804186;0.499834;-0.004417
15903;-9.799268;0.519332;0.080384
15904;-9.815266;0.518165;0.070232
15905;-9.810756;0.500127;0.022793
15906;-9.794432;0.513134;0.034330
15907;-9.777602;0.497343;0.096909
15908;-9.807724;0.500998;0.037224
15909;-9.806831;0.493995;-0.016681
15910;-9.792650;0.520503;0.051292
15911;-9.786980;0.520707;0.108980
15912;-9.796717;0.511702;0.057692
15913;-9.801696;0.500253;0.025169
15914;-9.789337;0.494792;0.052700
15915;-9.793790;0.491402;0.094742
15916;-9.796144;0.495890;0.034583
15917;-9.809587;0.512629;0.051291
15918;-9.799826;0.524159;0.056041
15919;-9.801376;0.480151;0.002704
15920;-9.790640;0.525723;0.037903
15921;-9.786691;0.507534;0.055667
15922;-9.781969;0.513689;0.043099
15923;-9.792839;0.511981;0.010512
15924;-9.797184;0.490421;-0.000393
15925;-9.797986;0.498714;0.008014
15926;-9.789665;0.503501;0.060263
15927;-9.791785;0.532453;0.113275
15928;-9.808919;0.497467;0.024210
15929;-9.802678;0.498658;0.029934
15930;-9.793157;0.517273;0.150776
15931;-9.800450;0.506455;0.030586
15932;-9.811410;0.503612;0.009854
15933;-9.791348;0.501641;0.079070
15934;-9.813327;0.487569;0.042568
15935;-9.822766;0.496685;-0.020744
15936;-9.788649;0.510377;0.066290
15937;-9.777964;0.509351;0.082013
15938;-9.813505;0.492497;-0.028992
15939;-9.811904;0.486980;0.029741
15940;-9.803359;0.506020;0.038842
15941;-9.803730;0.516167;0.057668
15942;-9.776566;0.504270;0.107088
15943;-9.803660;0.508620;0.015509
15944;-9.807876;0.494016;-0.000007
15945;-9.781093;0.508128;0.126964
15946;-9.811352;0.499728;-0.033615
15947;-9.809017;0.501648;0.005938
15948;-9.795573;0.510044;0.124042
15949;-9.804585;0.512794;-0.006782
15950;-9.803253;0.509301;0.041422
15951;-9.798406;0.515746;0.054421
15952;-9.802008;0.490968;0.018560
15953;-9.805521;0.500099;0.036984
15954;-9.782945;0.510147;0.165345
15955;-9.793875;0.486280;0.062917
15956;-9.784615;0.499719;-0.000801
15957;-9.781181;0.495692;0.165221
15958;-9.802999;0.485731;0.013869
15959;-9.812943;0.497178;-0.014143
15960;-9.792834;0.487581;0.111401
15961;-9.795493;0.497903;-0.003017
15962;-9.816599;0.501883;-0.011668
15963;-9.793035;0.496538;0.050727
15964;-9.802604;0.487837;0.040026
15965;-9.807064;0.491144;0.072742
15966;-9.778354;0.508538;0.176085
15967;-9.785419;0.497259;0.057637
15968;-9.818935;0.510600;-0.043372
15969;-9.795566;0.506604;0.098068
15970;-9.795748;0.511728;0.061928
15971;-9.810625;0.486581;-0.030829
15972;-9.773930;0.496982;0.107600
15973;-9.793341;0.505281;0.039211
15974;-9.816107;0.489261;-0.051414
15975;-9.793366;0.501028;0.108778
15976;-9.798034;0.509414;0.123735
15977;-9.822786;0.494632;-0.066861
15978;-9.797623;0.504605;0.055517
15979;-9.787806;0.508781;0.173172
15980;-9.804539;0.511871;0.020048
15981;-9.811008;0.503556;0.013265
15982;-9.797074;0.503718;0.055530
15983;-9.796040;0.502156;0.073433
15984;-9.815804;0.494635;0.034023
15985;-9.797616;0.505625;-0.015284
15986;-9.785225;0.501373;0.085120
15987;-9.769108;0.484725;0.143059
15988;-9.804395;0.515572;0.055274
15989;-9.825836;0.476533;-0.074208
15990;-9.809960;0.494162;0.033205
15991;-9.780603;0.511312;0.067458
15992;-9.801309;0.502831;0.014049
15993;-9.794987;0.483268;0.016306
15994;-9.784945;0.495070;0.113874
15995;-9.800255;0.518563;0.075174
15996;-9.798076;0.503675;0.019029
15997;-9.791255;0.511863;0.054936
15998;-9.793944;0.520565;0.074943
15999;-9.791091;0.500235;0.059753
16000;-9.795364;0.522821;0.068536
16001;-9.804289;0.485432;0.021805
16002;-9.775654;0.484916;0.090632
16003;-9.797056;0.502396;0.068679
16004;-9.821614;0.495234;-0.041649
16005;-9.804070;0.509452;0.055992
16006;-9.788184;0.530183;0.107469
16007;-9.795317;0.513277;0.031579
16008;-9.792441;0.488754;-0.020056
16009;-9.781342;0.520762;0.117127
16010;-9.795433;0.502276;0.055077
16011;-9.804442;0.505721;0.052786
16012;-9.792725;0.504453;0.089143
16013;-9.805783;0.493079;0.013965
16014;-9.817193;0.474908;0.010686
16015;-9.788683;0.492545;0.126692
16016;-9.792450;0.508239;0.116400
16017;-9.801502;0.487277;0.095066
16018;-9.814687;0.493836;-0.024112
16019;-9.793541;0.500966;0.059975
16020;-9.772712;0.515207;0.172934
16021;-9.791134;0.492266;0.027024
16022;-9.799356;0.486852;0.002677
16023;-9.798865;0.512232;0.076817
16024;-9.824179;0.498148;-0.010881
16025;-9.809478;0.495489;0.041814
16026;-9.785784;0.505071;0.066929
16027;-9.797628;0.492730;-0.003297
16028;-9.798672;0.510188;0.100607
16029;-9.795057;0.516671;0.101092
16030;-9.823696;0.501836;0.003856
16031;-9.807343;0.501489;-0.022229
16032;-9.782353;0.508573;0.071356
16033;-9.795983;0.513478;0.044999
16034;-9.810418;0.504295;0.022732
16035;-9.800534;0.515889;0.061960
16036;-9.787165;0.492749;0.112304
16037;-9.815733;0.496295;-0.006970
16038;-9.812461;0.491997;0.017080
16039;-9.777196;0.503635;0.110867
16040;-9.797004;0.511413;0.044456
16041;-9.803120;0.489812;-0.011074
16042;-9.807613;0.518115;0.074349
16043;-9.810102;0.500980;0.080091
16044;-9.792341;0.501820;0.085197
16045;-9.822581;0.492535;-0.008700
16046;-9.802978;0.510036;-0.028045
16047;-9.793546;0.509927;0.099186
16048;-9.815300;0.508027;0.090556
16049;-9.812615;0.486399;-0.020574
16050;-9.791795;0.512844;0.110955
16051;-9.802431;0.493202;0.080497
16052;-9.808712;0.491614;-0.061664
16053;-9.811661;0.519688;0.019954
16054;-9.803517;0.508218;0.108799
16055;-9.803195;0.485119;-0.022703
16056;-9.797976;0.492060;0.138896
16057;-9.794866;0.504946;0.079295
16058;-9.832014;0.500930;-0.055572
16059;-9.794328;0.500639;0.151437
16060;-9.783551;0.516441;0.174521
16061;-9.825568;0.484033;-0.043621
16062;-9.798917;0.497621;0.028579
16063;-9.786073;0.498740;0.003394
16064;-9.800018;0.508984;0.024296
16065;-9.797476;0.513402;0.146433
16066;-9.812983;0.501513;-0.039288
16067;-9.800449;0.506222;-0.027450
16068;-9.790172;0.506903;0.088860
16069;-9.802039;0.509489;0.040899
16070;-9.805475;0.509763;0.042449
16071;-9.800920;0.506589;0.086435
16072;-9.801094;0.523241;0.068774
16073;-9.813920;0.476187;0.052251
16074;-9.800534;0.499916;0.068658
16075;-9.788804;0.496193;-0.001900
16076;-9.781035;0.520647;0.074718
16077;-9.792270;0.509500;0.111266
16078;-9.804172;0.496924;-0.038644
16079;-9.807576;0.507163;0.045467
16080;-9.796013;0.507567;0.134235
16081;-9.806077;0.513694;-0.055788
16082;-9.775299;0.517755;0.074702
16083;-9.775554;0.511104;0.117113
16084;-9.813897;0.475650;-0.057398
16085;-9.794760;0.507250;0.022229
16086;-9.806376;0.509735;0.122970
16087;-9.786755;0.511452;0.019204
16088;-9.797415;0.509565;0.046592
16089;-9.790270;0.500777;0.106980
16090;-9.790817;0.508132;0.122825
16091;-9.797287;0.506577;0.050855
16092;-9.797661;0.485774;-0.018413
16093;-9.790613;0.502341;0.102861
16094;-9.790863;0.487294;0.000194
16095;-9.804432;0.500810;0.014487
16096;-9.759455;0.521431;0.163858
16097;-9.801644;0.508447;0.004064
16098;-9.820029;0.500162;-0.033662
16099;-9.794468;0.506371;0.131897
16100;-9.794514;0.496036;0.048869
16101;-9.804469;0.505420;0.017285
16102;-9.802614;0.493050;0.052534
16103;-9.790198;0.498218;0.090801
16104;-9.794053;0.500890;0.058517
16105;-9.819271;0.486158;-0.014682
16106;-9.800333;0.497146;0.083090
16107;-9.797316;0.512325;0.071548
16108;-9.802954;0.503241;0.031510
16109;-9.807040;0.499790;0.041466
16110;-9.783891;0.513812;0.081629
16111;-9.792902;0.496590;0.070605
16112;-9.796135;0.516747;0.015490
16113;-9.821078;0.500927;0.021779
16114;-9.805149;0.486211;0.071090
16115;-9.794601;0.503230;0.120327
16116;-9.807417;0.501563;0.027345
16117;-9.798325;0.489622;0.008743
16118;-9.798995;0.516597;0.075786
16119;-9.802010;0.488232;0.054648
16120;-9.810156;0.491811;0.041040
16121;-9.796359;0.502735;0.092663
16122;-9.777483;0.492413;0.128948
16123;-9.801811;0.509552;0.086503
16124;-9.822544;0.490158;-0.051463
16125;-9.796545;0.510172;0.064365
16126;-9.779673;0.531058;0.091908
16127;-9.799608;0.510004;0.021816
16128;-9.814641;0.499436;0.056098
16129;-9.780088;0.482882;0.105249
16130;-9.809383;0.485816;-0.015425
16131;-9.805198;0.498441;0.000857
16132;-9.768041;0.505438;0.098407
16133;-9.812467;0.500965;0.004057
16134;-9.806706;0.498442;-0.013680
16135;-9.785501;0.505013;0.088214
16136;-9.802821;0.490132;-0.023480
16137;-9.801915;0.509885;-0.001886
16138;-9.790794;0.508987;0.114236
16139;-9.796233;0.493469;0.022468
16140;-9.797933;0.478127;-0.056856
16141;-9.797857;0.511120;0.095013
16142;-9.781833;0.516741;0.209164
16143;-9.805079;0.522354;0.111770
16144;-9.798581;0.500838;0.026422
16145;-9.809513;0.498539;-0.014072
16146;-9.786611;0.508533;0.069899
16147;-9.786451;0.500164;0.160719
16148;-9.811023;0.502736;0.016737
16149;-9.803611;0.488523;-0.031617
16150;-9.765859;0.507626;0.155096
16151;-9.790698;0.487770;0.067933
16152;-9.818668;0.481564;-0.059563
16153;-9.808371;0.495687;-0.000149
16154;-9.790606;0.503274;0.112330
16155;-9.807817;0.504635;0.027419
16156;-9.801758;0.496949;0.042290
