// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
09256;-0.374715;-9.771806;-0.040716
09257;-0.356678;-9.805955;-0.036351
09258;-0.384506;-9.794962;-0.029974
09259;-0.358335;-9.792441;-0.016260
09260;-0.349650;-9.775167;0.010904
09261;-0.329083;-9.777650;0.002788
09262;-0.333873;-9.811714;0.016994
09263;-0.346571;-9.770064;0.011840
09264;-0.374524;-9.769252;0.004410
09265;-0.357062;-9.766359;-0.009234
09266;-0.365119;-9.788934;-0.014854
09267;-0.373102;-9.799501;-0.022159
09268;-0.364760;-9.792477;-0.073029
09269;-0.367627;-9.823914;-0.069082
09270;-0.352334;-9.801354;-0.043316
09271;-0.351203;-9.779249;-0.007548
09272;-0.346817;-9.788182;0.006026
09273;-0.348128;-9.785949;0.016378
09274;-0.351505;-9.773559;0.024259
09275;-0.364928;-9.755065;0.054308
09276;-0.359113;-9.791796;0.060676
09277;-0.370936;-9.762253;-0.002251
09278;-0.345804;-9.776045;0.022053
09279;-0.362353;-9.783600;0.007053
09280;-0.363387;-9.786487;-0.046861
09281;-0.357848;-9.769882;0.030553
09282;-0.359627;-9.791862;-0.048532
09283;-0.368390;-9.812572;-0.131825
09284;-0.357691;-9.810207;-0.104095
09285;-0.368702;-9.807302;-0.079075
09286;-0.362253;-9.800265;-0.049254
09287;-0.376526;-9.802091;-0.076406
09288;-0.358723;-9.773198;-0.000597
09289;-0.355956;-9.777469;0.022872
09290;-0.351279;-9.741613;0.086100
09291;-0.342727;-9.751637;0.168784
09292;-0.325057;-9.761978;0.094555
09293;-0.353337;-9.763123;0.052119
09294;-0.354087;-9.775756;0.001109
09295;-0.364335;-9.786369;-0.043438
09296;-0.360688;-9.812287;-0.092837
09297;-0.370932;-9.817532;-0.126799
09298;-0.359159;-9.814543;-0.102515
09299;-0.365211;-9.819810;-0.095495
09300;-0.370540;-9.791622;-0.053032
09301;-0.356791;-9.779918;-0.035937
09302;-0.341121;-9.786530;0.017921
09303;-0.359146;-9.785426;0.021520
09304;-0.344361;-9.765395;0.062075
09305;-0.366251;-9.755470;0.031967
09306;-0.342201;-9.764635;0.066253
09307;-0.356818;-9.790742;-0.007270
09308;-0.376287;-9.791636;-0.017662
09309;-0.355349;-9.784821;-0.005371
09310;-0.362411;-9.789026;-0.000842
09311;-0.360171;-9.806798;-0.031976
09312;-0.361897;-9.791165;-0.035720
09313;-0.355517;-9.781687;-0.000914
09314;-0.343410;-9.785310;-0.014985
09315;-0.351635;-9.766582;0.005200
09316;-0.334381;-9.790815;0.001332
