// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
03384;-0.064201;-0.002621;-9.570599
03385;-0.060809;-0.001786;-9.534146
03386;-0.049066;-0.007078;-9.570818
03387;-0.054484;0.007195;-9.590530
03388;-0.051002;0.011055;-9.562283
03389;-0.088893;0.006083;-9.602054
03390;-0.064011;-0.001527;-9.581053
03391;-0.058040;0.000482;-9.582144
03392;-0.052429;0.012122;-9.565191
03393;-0.064367;0.003209;-9.558082
03394;-0.042501;0.017434;-9.561012
03395;-0.050173;0.005198;-9.570174
03396;-0.061426;0.008900;-9.557045
03397;-0.065369;0.009627;-9.575337
03398;-0.059657;0.017591;-9.568614
03399;-0.074623;-0.001034;-9.549578
03400;-0.069444;0.020683;-9.550142
03401;-0.047260;0.018971;-9.563635
03402;-0.061242;0.001855;-9.564840
03403;-0.057996;-0.014304;-9.588806
03404;-0.067689;-0.010031;-9.576888
03405;-0.069557;0.001048;-9.560627
03406;-0.076656;-0.000836;-9.600645
03407;-0.080256;0.014302;-9.550476
03408;-0.049945;0.011640;-9.601216
03409;-0.056547;0.021579;-9.593558
03410;-0.074475;0.004564;-9.560604
03411;-0.061976;0.012834;-9.582258
03412;-0.059059;0.014736;-9.565723
03413;-0.067200;-0.008836;-9.591746
03414;-0.072103;0.017503;-9.557469
03415;-0.062383;0.008447;-9.588140
03416;-0.062945;-0.000814;-9.571260
03417;-0.042786;0.007439;-9.566401
03418;-0.054378;0.003556;-9.570651
03419;-0.061983;0.019670;-9.574503
03420;-0.054759;-0.005466;-9.600121
03421;-0.080942;0.009958;-9.564121
03422;-0.069574;0.010962;-9.584051
03423;-0.056715;0.018580;-9.553050
03424;-0.051479;-0.010089;-9.553771
03425;-0.069526;0.016484;-9.568839
03426;-0.053235;-0.002373;-9.572731
03427;-0.061738;0.018043;-9.595305
03428;-0.060261;0.014948;-9.594345
03429;-0.070845;-0.003065;-9.542614
03430;-0.058977;-0.001888;-9.537810
03431;-0.072346;0.002778;-9.556033
03432;-0.066440;0.007029;-9.560712
03433;-0.079948;0.010542;-9.559931
03434;-0.078076;0.016028;-9.564616
03435;-0.082025;0.007290;-9.570971
03436;-0.076848;-0.009980;-9.554084
03437;-0.075031;0.013779;-9.544200
03438;-0.073450;0.009982;-9.575279
03439;-0.071757;0.011785;-9.539866
03440;-0.069774;0.009230;-9.531504
03441;-0.055393;0.018550;-9.547923
03442;-0.064547;-0.002983;-9.558858
03443;-0.057741;-0.005610;-9.577865
03444;-0.079358;-0.007145;-9.556499
03445;-0.067506;0.010375;-9.539779
03446;-0.064097;0.004544;-9.557772
03447;-0.081531;0.004490;-9.554836
03448;-0.064618;-0.002068;-9.578689
03449;-0.058682;-0.004890;-9.550171
03450;-0.052784;0.002310;-9.567974
03451;-0.059280;0.004240;-9.579794
03452;-0.053323;0.003716;-9.568267
03453;-0.054943;0.029172;-9.569336
03454;-0.049867;0.009358;-9.575229
03455;-0.070437;0.006379;-9.588451
03456;-0.067409;0.004485;-9.574753
03457;-0.071811;-0.000669;-9.575881
03458;-0.065626;0.023322;-9.566897
03459;-0.059331;0.024145;-9.559954
03460;-0.078271;0.011120;-9.560349
03461;-0.054777;0.017180;-9.570776
03462;-0.058462;-0.004379;-9.580093
03463;-0.062656;0.011491;-9.560310
03464;-0.066192;0.008298;-9.578485
03465;-0.054007;0.009520;-9.573237
03466;-0.066752;0.008105;-9.536487
03467;-0.061395;0.016447;-9.585035
03468;-0.056672;-0.001164;-9.555608
03469;-0.056483;0.012772;-9.583156
03470;-0.061964;0.006579;-9.558940
03471;-0.057298;0.004221;-9.550113
03472;-0.050853;0.013224;-9.558427
03473;-0.056749;-0.000285;-9.607971
03474;-0.051791;0.007195;-9.540044
03475;-0.053003;0.006524;-9.545374
03476;-0.052693;0.006349;-9.585886
03477;-0.059937;0.011671;-9.573531
03478;-0.066673;0.019328;-9.588748
03479;-0.055948;0.012952;-9.571860
03480;-0.055419;0.001624;-9.567809
03481;-0.057454;0.007562;-9.582567
03482;-0.059326;-0.004057;-9.560102
03483;-0.049336;0.008278;-9.562330
03484;-0.056884;-0.005276;-9.569860
03485;-0.055195;-0.018823;-9.573435
03486;-0.061511;0.005606;-9.574728
03487;-0.056016;0.004595;-9.588639
03488;-0.050383;0.008317;-9.573756
03489;-0.056372;0.004013;-9.552759
03490;-0.058530;0.011146;-9.579878
03491;-0.057437;0.003262;-9.563887
03492;-0.064273;0.003606;-9.570419
03493;-0.055966;0.011026;-9.565036
03494;-0.052834;0.011218;-9.587334
03495;-0.054598;0.003096;-9.546571
03496;-0.061203;0.017849;-9.549433
03497;-0.066298;0.013807;-9.566736
03498;-0.052142;0.002451;-9.594888
03499;-0.069378;0.011426;-9.561248
03500;-0.068516;0.006130;-9.540778
03501;-0.074981;0.010388;-9.559156
03502;-0.057263;0.008633;-9.566474
03503;-0.056758;-0.002507;-9.541355
03504;-0.073788;0.012774;-9.560587
03505;-0.077517;0.006610;-9.550579
03506;-0.055352;0.027653;-9.559085
