// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
64668;0.103737;0.147114;10.044466
64669;0.096549;0.146277;10.037139
64670;0.102201;0.148613;10.074631
64671;0.079125;0.129922;10.034190
64672;0.080464;0.139287;10.080240
64673;0.087105;0.153174;10.057049
64674;0.067664;0.145380;10.060970
64675;0.071392;0.145170;10.051867
64676;0.076253;0.146108;10.062263
64677;0.090391;0.123453;10.074970
64678;0.088691;0.144296;10.054675
64679;0.107066;0.134294;10.044048
64680;0.091742;0.135544;10.057400
64681;0.095882;0.135500;10.033010
64682;0.083164;0.142249;10.035383
64683;0.065836;0.136013;10.055104
64684;0.077566;0.157795;10.027649
64685;0.069919;0.138315;10.052602
64686;0.070121;0.159758;10.079323
64687;0.064028;0.149571;10.058430
64688;0.089736;0.145781;10.056833
64689;0.078668;0.134278;10.059434
64690;0.088296;0.132198;10.054461
64691;0.075937;0.138203;10.045615
64692;0.078140;0.154549;10.043821
64693;0.092345;0.143207;10.076485
64694;0.087041;0.141478;10.061214
64695;0.081451;0.137406;10.035023
64696;0.071358;0.148645;10.069795
64697;0.075341;0.148748;10.086732
64698;0.099372;0.130207;10.058939
64699;0.081165;0.145180;10.053617
64700;0.088858;0.136899;10.053047
64701;0.081847;0.132794;10.048823
64702;0.073721;0.139871;10.052692
64703;0.084856;0.124222;10.048807
64704;0.082114;0.149629;10.048202
64705;0.082809;0.139109;10.054592
64706;0.059214;0.151947;10.093043
64707;0.082745;0.155970;10.067206
64708;0.095121;0.137779;10.062086
64709;0.086337;0.127773;10.061923
64710;0.100140;0.147471;10.058323
64711;0.081594;0.144291;10.047948
64712;0.083406;0.137141;10.045836
64713;0.080228;0.154960;10.032614
64714;0.097773;0.159932;10.050863
64715;0.088898;0.125133;10.069220
64716;0.091659;0.147662;10.078592
64717;0.076951;0.144056;10.055365
64718;0.077376;0.152631;10.054001
64719;0.078379;0.133524;10.076490
64720;0.078945;0.145505;10.038224
64721;0.088566;0.147233;10.071483
64722;0.076824;0.140562;10.078480
64723;0.073978;0.139991;10.071607
64724;0.075646;0.133030;10.013535
64725;0.091548;0.148239;10.018132
64726;0.091207;0.150690;10.041110
64727;0.078024;0.138368;10.025100
64728;0.078213;0.135505;10.047788
64729;0.096673;0.145561;10.032652
64730;0.089188;0.129866;10.050564
64731;0.078756;0.148212;10.040922
64732;0.077618;0.154598;10.077164
64733;0.078086;0.148104;10.072655
64734;0.088396;0.147117;10.052760
64735;0.095936;0.152126;10.009768
64736;0.080800;0.150996;10.048816
64737;0.065473;0.133103;10.051913
64738;0.092222;0.137741;10.076957
64739;0.081771;0.147164;10.053855
64740;0.081154;0.149143;10.050605
64741;0.071873;0.143794;10.046824
64742;0.061373;0.121517;10.046183
64743;0.097187;0.135270;10.060795
64744;0.079771;0.132966;10.042839
64745;0.082074;0.143857;10.062066
64746;0.080906;0.130246;10.033484
64747;0.103680;0.132957;10.049680
64748;0.088296;0.141196;10.055843
64749;0.083148;0.140035;10.038528
