// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
06624;0.513796;9.786704;0.102558
06625;0.534371;9.795748;0.177356
06626;0.480413;9.822670;-0.131664
06627;0.471327;9.815285;-0.144564
06628;0.489049;9.814927;-0.037602
06629;0.498539;9.807735;-0.062405
06630;0.477174;9.818927;-0.152848
06631;0.491768;9.810037;-0.087290
06632;0.488654;9.805134;-0.032386
06633;0.499567;9.828041;-0.039813
06634;0.494036;9.813811;-0.085767
06635;0.507209;9.825826;-0.094560
06636;0.477560;9.809904;-0.015835
06637;0.499488;9.807438;-0.065855
06638;0.492272;9.804591;-0.049465
06639;0.494624;9.814748;0.047106
06640;0.480403;9.809424;-0.024330
06641;0.454295;9.836123;-0.184425
06642;0.490499;9.817237;-0.085054
06643;0.493898;9.809740;0.024415
06644;0.494469;9.816885;-0.139473
06645;0.494439;9.802644;-0.086845
06646;0.495658;9.800670;-0.002114
06647;0.464650;9.814569;-0.090483
06648;0.460650;9.807026;-0.072163
06649;0.491992;9.791703;0.037873
06650;0.500246;9.800201;-0.092579
06651;0.476470;9.809780;-0.100001
06652;0.472212;9.825426;-0.051543
06653;0.496400;9.803965;-0.129891
06654;0.492605;9.822119;-0.133716
06655;0.509583;9.806517;-0.042855
06656;0.494948;9.799091;0.038373
06657;0.478507;9.823436;-0.083936
06658;0.493990;9.807925;-0.068344
06659;0.487765;9.805092;-0.060889
06660;0.500155;9.799631;-0.034694
06661;0.488705;9.814631;-0.063224
06662;-0.116097;9.776662;-0.465945
06663;1.026448;9.876485;-0.187759
06664;0.317230;9.766680;0.297523
06665;0.762402;9.813076;0.121085
