// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 038801AC
//  ProductCode: MTI-3-8A7G6
//  Firmware Version: 1.0.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter;Acc_X;Acc_Y;Acc_Z
13624;9.810014;-0.348091;0.195323
13625;9.806145;-0.338123;0.150837
13626;9.786703;-0.337575;0.209562
13627;9.827265;-0.346269;0.177328
13628;9.792620;-0.348691;0.190123
13629;9.802230;-0.362907;0.194249
13630;9.799497;-0.362618;0.191528
13631;9.796628;-0.356432;0.188990
13632;9.816800;-0.358875;0.176408
13633;9.815878;-0.379736;0.199313
13634;9.810201;-0.349846;0.196389
13635;9.824054;-0.350576;0.150330
13636;9.792049;-0.342841;0.180837
13637;9.795526;-0.345538;0.176484
13638;9.819489;-0.359376;0.192029
13639;9.801869;-0.359723;0.202078
13640;9.809134;-0.374840;0.182900
13641;9.804553;-0.360356;0.183295
13642;9.810349;-0.352479;0.173786
13643;9.819611;-0.350825;0.154730
13644;9.800169;-0.375293;0.196714
13645;9.800050;-0.346504;0.179317
13646;9.798604;-0.358550;0.169793
13647;9.821610;-0.334383;0.178643
13648;9.805997;-0.354038;0.166065
13649;9.815772;-0.348727;0.143134
13650;9.803104;-0.361563;0.161913
13651;9.807340;-0.356826;0.157942
13652;9.795112;-0.362409;0.200404
13653;9.820491;-0.370551;0.174876
13654;9.811378;-0.360118;0.167481
13655;9.804550;-0.342585;0.200904
13656;9.805950;-0.334693;0.173162
13657;9.788954;-0.343759;0.159217
13658;9.795872;-0.358222;0.183951
13659;9.811439;-0.370878;0.196587
13660;9.793324;-0.356293;0.192417
13661;9.786693;-0.350332;0.186028
13662;9.826504;-0.353155;0.144771
13663;9.808212;-0.366974;0.166111
13664;9.797035;-0.351755;0.186645
13665;9.824499;-0.355904;0.167601
13666;9.817216;-0.342439;0.177008
13667;9.821868;-0.337587;0.180441
13668;9.818743;-0.363997;0.173315
13669;9.799603;-0.379550;0.172534
13670;9.807923;-0.347937;0.191043
13671;9.800732;-0.355384;0.171275
13672;9.799677;-0.355547;0.164160
13673;9.805131;-0.362424;0.183615
13674;9.825555;-0.358737;0.193774
13675;9.800617;-0.364628;0.162628
13676;9.811728;-0.374050;0.178046
13677;9.803089;-0.355828;0.165524
13678;9.800841;-0.361072;0.180804
13679;9.807505;-0.370210;0.204417
13680;9.811610;-0.364607;0.149386
13681;9.808354;-0.353829;0.130009
13682;9.802207;-0.350353;0.172561
13683;9.810892;-0.361313;0.177478
13684;9.796059;-0.367236;0.183586
13685;9.820361;-0.351874;0.202853
13686;9.795104;-0.368136;0.194879
13687;9.811944;-0.354546;0.157955
13688;9.809746;-0.364339;0.192624
13689;9.801483;-0.365892;0.187352
13690;9.806454;-0.361845;0.205945
13691;9.792444;-0.344808;0.191061
13692;9.813553;-0.339844;0.159716
13693;9.805653;-0.360156;0.171705
13694;9.818329;-0.355927;0.195635
13695;9.810606;-0.366632;0.176237
13696;9.797750;-0.363727;0.184994
13697;9.799128;-0.351347;0.174418
13698;9.809333;-0.350464;0.171761
13699;9.807880;-0.353716;0.189789
13700;9.816654;-0.352605;0.183326
13701;9.816311;-0.360974;0.157241
13702;9.802908;-0.335100;0.189139
13703;9.808230;-0.357502;0.160447
13704;9.798747;-0.362389;0.198903
13705;9.811369;-0.355002;0.197923
13706;9.805404;-0.353458;0.159315
13707;9.817854;-0.372335;0.177201
13708;9.793986;-0.335757;0.170775
13709;9.825833;-0.346697;0.166628
13710;9.813412;-0.360241;0.172225
13711;9.794294;-0.354469;0.161933
13712;9.809463;-0.359837;0.166922
13713;9.799504;-0.347952;0.204929
13714;9.799104;-0.349321;0.188220
13715;9.819500;-0.365389;0.179568
13716;9.809101;-0.366918;0.192814
13717;9.795797;-0.358579;0.179503
13718;9.806304;-0.363711;0.177208
13719;9.827163;-0.349862;0.159419
13720;9.797060;-0.351306;0.156467
13721;9.806628;-0.343040;0.186768
13722;9.794550;-0.364687;0.179427
13723;9.812166;-0.351641;0.162391
13724;9.811950;-0.358138;0.186102
13725;9.832772;-0.351882;0.192286
13726;9.814678;-0.334095;0.157166
13727;9.808215;-0.352409;0.194106
13728;9.802593;-0.372603;0.182222
13729;9.812333;-0.376604;0.166699
13730;9.814069;-0.381963;0.185305
13731;9.796707;-0.363733;0.154998
13732;9.799510;-0.360503;0.161183
13733;9.823624;-0.355647;0.169385
13734;9.807171;-0.365129;0.155956
13735;9.803796;-0.353882;0.175420
13736;9.815462;-0.357270;0.188579
13737;9.785307;-0.355984;0.168690
13738;9.800504;-0.370365;0.173707
13739;9.796788;-0.355947;0.176344
13740;9.811560;-0.366422;0.187737
13741;9.809136;-0.343065;0.184963
13742;9.806223;-0.355566;0.152702
13743;9.794894;-0.369580;0.159563
13744;9.817775;-0.357535;0.199444
13745;9.811619;-0.364531;0.168634
13746;9.803144;-0.354718;0.153826
13747;9.809847;-0.346215;0.191716
13748;9.811884;-0.370794;0.187402
13749;9.813929;-0.363893;0.215759
13750;9.803589;-0.348013;0.164505
13751;9.812771;-0.360707;0.194656
13752;9.789308;-0.354696;0.204003
13753;9.805015;-0.362879;0.189524
13754;9.794500;-0.369904;0.172995
13755;9.800378;-0.347952;0.198640
13756;9.820946;-0.362157;0.145117
13757;9.809009;-0.348655;0.174597
13758;9.812617;-0.346571;0.180540
13759;9.810623;-0.348233;0.193869
13760;9.799984;-0.365088;0.193911
13761;9.806876;-0.357750;0.190568
13762;9.818320;-0.341706;0.160506
13763;9.803720;-0.350423;0.153944
13764;9.789960;-0.360845;0.167606
13765;9.802733;-0.378364;0.147274
13766;9.799044;-0.355900;0.155234
13767;9.807575;-0.369946;0.185889
13768;9.809175;-0.358774;0.201091
13769;9.796074;-0.348148;0.200500
13770;9.801999;-0.353755;0.182344
13771;9.810159;-0.353508;0.192877
13772;9.811561;-0.356951;0.167091
13773;9.812636;-0.372311;0.185122
13774;9.809309;-0.350956;0.196961
13775;9.797983;-0.349588;0.161159
13776;9.792701;-0.353898;0.181134
13777;9.796999;-0.349990;0.225828
13778;9.808000;-0.369815;0.144088
13779;9.822657;-0.377949;0.171229
13780;9.823293;-0.346888;0.178110
13781;9.809065;-0.360053;0.147620
13782;9.796866;-0.353042;0.167632
13783;9.800269;-0.356230;0.177202
13784;9.815274;-0.365009;0.166356
13785;9.809047;-0.348205;0.183307
13786;9.786036;-0.351803;0.169343
13787;9.802121;-0.361155;0.169497
13788;9.808530;-0.353630;0.176134
13789;9.809032;-0.367995;0.192482
13790;9.803655;-0.377184;0.171867
13791;9.801388;-0.359451;0.206863
13792;9.805666;-0.365835;0.181413
13793;9.806439;-0.366674;0.156139
13794;9.791512;-0.359159;0.186833
13795;9.811115;-0.361251;0.187981
13796;9.810758;-0.356457;0.151195
13797;9.802297;-0.351037;0.185208
13798;9.814264;-0.371587;0.206615
13799;9.802382;-0.359383;0.176877
13800;9.820843;-0.368059;0.186132
13801;9.801263;-0.356876;0.168640
13802;9.811359;-0.362923;0.192989
13803;9.809520;-0.360829;0.195430
13804;9.828094;-0.353677;0.185221
13805;9.778828;-0.359875;0.157082
13806;9.799053;-0.367482;0.182169
13807;9.808725;-0.364822;0.190386
13808;9.798429;-0.357923;0.188555
13809;9.801240;-0.370311;0.166132
13810;9.797700;-0.362412;0.215960
