PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00001;;;;;;;;;-0.079416;0.346663;-0.862084;-0.770545;-0.352748;-0.470953
00002;;;;;;;;;-0.077093;0.344536;-0.857812;-0.769509;-0.353073;-0.474395
00003;;;;;;;;;-0.070364;0.344655;-0.859937;-0.769370;-0.353032;-0.480029
00004;;;;;;;;;-0.077422;0.353186;-0.855871;-0.768871;-0.352669;-0.483455
00005;;;;;;;;;-0.074932;0.346738;-0.857859;-0.769097;-0.352488;-0.484616
00006;;;;;;;;;-0.070201;0.340327;-0.857734;-0.769236;-0.350887;-0.490559
00007;;;;;;;;;-0.074768;0.342412;-0.857772;-0.768956;-0.350234;-0.493980
00008;;;;;;;;;-0.072690;0.346777;-0.857862;-0.768122;-0.350381;-0.495820
00009;;;;;;;;;-0.070283;0.342490;-0.857778;-0.767621;-0.350971;-0.501957
00010;;;;;;;;;-0.077010;0.342374;-0.859884;-0.768240;-0.351524;-0.505384
00011;;;;;;;;;-0.077258;0.348860;-0.855784;-0.768214;-0.352114;-0.507574
00012;;;;;;;;;-0.079254;0.342332;-0.855650;-0.768581;-0.352255;-0.512951
00013;;;;;;;;;-0.072605;0.344619;-0.864165;-0.768304;-0.352109;-0.517067
00014;;;;;;;;;-0.072773;0.348938;-0.855790;-0.767775;-0.352070;-0.522231
00015;;;;;;;;;-0.077175;0.346699;-0.857856;-0.767861;-0.352246;-0.524303
00016;;;;;;;;;-0.070284;0.342489;-0.855662;-0.767529;-0.351636;-0.527826
00017;;;;;;;;;-0.079253;0.342334;-0.857766;-0.766558;-0.352061;-0.533493
00018;;;;;;;;;-0.081577;0.344459;-0.859922;-0.766676;-0.352623;-0.535429
00019;;;;;;;;;-0.077256;0.348863;-0.860015;-0.765929;-0.351940;-0.541324
00020;;;;;;;;;-0.074851;0.344573;-0.855700;-0.765209;-0.352268;-0.545963
00021;;;;;;;;;-0.074849;0.344577;-0.859931;-0.765976;-0.352277;-0.548952
00022;;;;;;;;;-0.072692;0.346774;-0.853631;-0.764807;-0.351725;-0.551090
00023;;;;;;;;;-0.070119;0.338164;-0.857691;-0.764028;-0.351411;-0.554947
00024;;;;;;;;;-0.068040;0.342531;-0.859896;-0.763550;-0.351975;-0.558376
00025;;;;;;;;;-0.074687;0.340249;-0.857728;-0.762657;-0.351964;-0.561123
00026;;;;;;;;;-0.083655;0.340096;-0.861947;-0.762216;-0.352100;-0.563844
00027;;;;;;;;;-0.070201;0.340327;-0.857734;-0.762557;-0.351874;-0.568662
00028;;;;;;;;;-0.074850;0.344575;-0.857816;-0.763446;-0.351370;-0.574613
00029;;;;;;;;;-0.072527;0.342449;-0.855659;-0.763494;-0.350638;-0.575413
00030;;;;;;;;;-0.079173;0.340169;-0.855607;-0.763830;-0.349486;-0.580299
00031;;;;;;;;;-0.070201;0.340327;-0.857734;-0.763669;-0.349448;-0.584004
00032;;;;;;;;;-0.074933;0.346736;-0.855744;-0.763628;-0.349254;-0.589157
00033;;;;;;;;;-0.077175;0.346699;-0.857856;-0.763048;-0.348758;-0.591092
00034;;;;;;;;;-0.072524;0.342454;-0.862005;-0.762490;-0.348908;-0.595431
00035;;;;;;;;;-0.074768;0.342412;-0.857772;-0.762548;-0.348237;-0.599766
00036;;;;;;;;;-0.077009;0.342376;-0.862000;-0.762756;-0.348265;-0.602867
00037;;;;;;;;;-0.076928;0.340211;-0.859841;-0.762590;-0.348077;-0.606757
00038;;;;;;;;;-0.072692;0.346774;-0.853631;-0.762616;-0.346417;-0.611385
00039;;;;;;;;;-0.081332;0.337968;-0.857675;-0.762634;-0.346317;-0.616163
00040;;;;;;;;;-0.074767;0.342413;-0.859887;-0.763058;-0.346454;-0.619001
00041;;;;;;;;;-0.072772;0.348940;-0.857906;-0.763393;-0.347009;-0.624949
00042;;;;;;;;;-0.074768;0.342412;-0.857772;-0.763666;-0.346683;-0.627992
00043;;;;;;;;;-0.081496;0.342294;-0.857763;-0.763069;-0.346538;-0.631325
00044;;;;;;;;;-0.074765;0.342416;-0.864118;-0.763036;-0.346202;-0.635380
00045;;;;;;;;;-0.077175;0.346699;-0.857856;-0.763617;-0.345823;-0.641399
00046;;;;;;;;;-0.079007;0.335846;-0.859751;-0.762621;-0.344966;-0.644651
00047;;;;;;;;;-0.077092;0.344537;-0.859928;-0.761419;-0.344861;-0.649190
00048;;;;;;;;;-0.070282;0.342492;-0.859893;-0.761265;-0.344535;-0.653961
00049;;;;;;;;;-0.077012;0.342371;-0.855653;-0.761096;-0.344637;-0.658031
00050;;;;;;;;;-0.074852;0.344572;-0.853585;-0.760811;-0.343917;-0.660302
00051;;;;;;;;;-0.074933;0.346736;-0.855744;-0.760907;-0.344851;-0.665247
00052;;;;;;;;;-0.076927;0.340213;-0.861956;-0.760020;-0.344660;-0.668621
00053;;;;;;;;;-0.076927;0.340213;-0.861956;-0.760280;-0.343939;-0.673113
00054;;;;;;;;;-0.068042;0.342528;-0.855665;-0.760493;-0.344341;-0.677409
00055;;;;;;;;;-0.072525;0.342453;-0.859890;-0.760246;-0.343762;-0.681063
00056;;;;;;;;;-0.074767;0.342413;-0.859887;-0.759902;-0.342557;-0.682488
00057;;;;;;;;;-0.070282;0.342492;-0.859893;-0.758941;-0.341408;-0.687431
00058;;;;;;;;;-0.072608;0.344614;-0.857818;-0.758105;-0.341915;-0.692212
00059;;;;;;;;;-0.079335;0.344497;-0.857809;-0.757846;-0.340847;-0.695943
00060;;;;;;;;;-0.072607;0.344616;-0.859934;-0.757471;-0.340990;-0.700283
00061;;;;;;;;;-0.072442;0.340291;-0.861962;-0.756315;-0.340468;-0.704515
00062;;;;;;;;;-0.072526;0.342451;-0.857775;-0.755631;-0.340397;-0.707205
00063;;;;;;;;;-0.076928;0.340211;-0.859841;-0.755501;-0.340170;-0.711145
00064;;;;;;;;;-0.070283;0.342490;-0.857778;-0.754970;-0.339247;-0.715493
00065;;;;;;;;;-0.074767;0.342413;-0.859887;-0.754692;-0.338949;-0.720414
00066;;;;;;;;;-0.074687;0.340247;-0.855613;-0.754351;-0.338740;-0.722402
00067;;;;;;;;;-0.079171;0.340172;-0.859838;-0.753894;-0.338593;-0.726413
00068;;;;;;;;;-0.074848;0.344578;-0.862046;-0.753273;-0.338185;-0.730703
00069;;;;;;;;;-0.067793;0.336043;-0.861881;-0.752931;-0.337748;-0.735692
00070;;;;;;;;;-0.070283;0.342490;-0.857778;-0.753262;-0.337787;-0.738845
00071;;;;;;;;;-0.081494;0.342298;-0.861993;-0.753661;-0.337915;-0.740065
00072;;;;;;;;;-0.072608;0.344614;-0.857818;-0.753408;-0.338117;-0.745002
00073;;;;;;;;;-0.072445;0.340286;-0.855616;-0.753613;-0.337161;-0.751532
00074;;;;;;;;;-0.074768;0.342412;-0.857772;-0.753819;-0.336929;-0.754008
00075;;;;;;;;;-0.076929;0.340210;-0.857725;-0.754031;-0.338389;-0.757679
00076;;;;;;;;;-0.070364;0.344655;-0.859937;-0.754490;-0.337754;-0.761720
00077;;;;;;;;;-0.074684;0.340253;-0.864074;-0.754985;-0.338244;-0.765301
00078;;;;;;;;;-0.077094;0.344534;-0.855697;-0.754235;-0.337624;-0.768309
00079;;;;;;;;;-0.072690;0.346777;-0.857862;-0.754763;-0.336485;-0.771864
00080;;;;;;;;;-0.072608;0.344614;-0.857818;-0.754948;-0.336343;-0.776122
00081;;;;;;;;;-0.077011;0.342373;-0.857769;-0.753952;-0.335812;-0.779504
